title,url,preview,image_url,date,category,page_number,date_range
Keliru: Video Zaidul Akbar Sarankan Penderita Diabetes...,https://turnbackhoax.id/articles/27319-keliru-video-zaidul-akbar-sarankan-penderita-diabetes-gunakan-soda-kue,SEBUAH konten beredar di Facebook [arsip] memuat klaim saran...,https://statik.tempo.co/data/2025/06/10/id_1404788/1404788_720.jpg,10/06/2025,Uncategorized,34,June 2025
Keliru: Video Raffi Ahmad Promosikan Dua Situs...,https://turnbackhoax.id/articles/27318-keliru-video-raffi-ahmad-promosikan-dua-situs-judi-miliknya,"AKUN media sosial Facebook, yakni akun satu dan akun...",https://statik.tempo.co/data/2025/06/10/id_1404774/1404774_720.jpg,10/06/2025,Uncategorized,34,June 2025
CEK FAKTA: Hoaks! Pembuatan SIM Gratis pada...,https://turnbackhoax.id/articles/27317-cek-fakta-hoaks-pembuatan-sim-gratis-pada-2025,Sebuah video yang mengklaim Polisi memberikan program SIM gratis...,https://cdn-1.timesmedia.co.id/images/2025/06/10/cek-fakta-4.jpg,11/06/2025,Uncategorized,34,June 2025
CEK FAKTA: Benarkah DPR Bahas Kasus Ijazah...,https://turnbackhoax.id/articles/27311-cek-fakta-benarkah-dpr-bahas-kasus-ijazah-palsu-jokowi-dan-minta-kapolri-dinonaktifkan-,Sebuah video beredar di platform X (sebelumnya Twitter) yang...,https://cdn-1.timesmedia.co.id/images/2025/06/10/cek-fakta-3.jpg,10/06/2025,Uncategorized,34,June 2025
CEK FAKTA: Benarkah DPR Bahas Kasus Ijazah...,https://turnbackhoax.id/articles/27316-cek-fakta-benarkah-dpr-bahas-kasus-ijazah-palsu-jokowi-dan-minta-kapolri-dinonaktifkan---times-indonesia,"TIMESINDONESIA, JAKARTA – Sebuah video beredar di platform X...",https://cdn-1.timesmedia.co.id/images/2025/06/10/cek-fakta-3.jpg,10/06/2025,Uncategorized,34,June 2025
[KLARIFIKASI] Foto Ini Bukan Pembakaran Alat Berat...,https://turnbackhoax.id/articles/27315--klarifikasi-foto-ini-bukan-pembakaran-alat-berat-di-raja-ampat,"KOMPAS.com - Pertambangan nikel di Raja Ampat, Papua Barat...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,09/06/2025,Uncategorized,34,June 2025
Belum Ada Bukti: Semburan Air Bersih dari...,https://turnbackhoax.id/articles/27333-belum-ada-bukti-semburan-air-bersih-dari-tanah-di-gaza-utara,SEBUAH video memuat klaim air bersih yang keluar dari...,https://statik.tempo.co/data/2025/06/11/id_1404999/1404999_720.jpg,11/06/2025,Uncategorized,33,June 2025
Keliru: Warga Papua Bakar Eskavator di Area...,https://turnbackhoax.id/articles/27332-keliru-warga-papua-bakar-eskavator-di-area-pertambangan-nikel-raja-ampat,SEJUMLAH akun di media sosial mengunggah konten video berisi...,https://statik.tempo.co/data/2025/06/11/id_1404993/1404993_720.jpg,11/06/2025,Uncategorized,33,June 2025
[SALAH] Sertifikat Halal Produk McDonald’s Dicabut di...,https://turnbackhoax.id/articles/27329--salah-sertifikat-halal-produk-mcdonald-s-dicabut-di-indonesia,Akun Tiktok “aliimranmaryam” pada Senin (7/11/2023) mengunggah video [arsip]...,https://yudistira.turnbackhoax.id/uploads/2025/06/HEADER-Light-Background-3-678x381.png,11/06/2025,Uncategorized,33,June 2025
[KLARIFIKASI] Tidak Ada Pembatasan Jam Malam di...,https://turnbackhoax.id/articles/27331--klarifikasi-tidak-ada-pembatasan-jam-malam-di-kabupaten-sintang,KOMPAS.com - Pemerintah Kabupaten Sintang disebut memberlakukan pembatasan jam...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,10/06/2025,Uncategorized,33,June 2025
