title,url,preview,image_url,date,category,page_number,date_range
"[SALAH] Laga Indonesia Vs Iraq Resmi Diulang,...",https://turnbackhoax.id/articles/29551--salah-laga-indonesia-vs-iraq-resmi-diulang-presiden-prabowo-temui-presiden-fifa,Beredar unggahan [arsip] dari akun tiktok “userjohnson96” pada Selasa...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Light-Background-17-678x381.png,15/10/2025,Sport,23,October 2025
[SALAH] Shin Tae Yong ke Arab Saudi...,https://turnbackhoax.id/articles/29550--salah-shin-tae-yong-ke-arab-saudi-untuk-dampingi-kluivert,Pada Jumat (6/10/2025) akun Facebook “Sepak BOLA Indonesia” membagikan...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Dark-Background-6-678x381.png,15/10/2025,Sport,23,October 2025
[PARODI] Purbaya Menyebut Harga Pertalite Harusnya di...,https://turnbackhoax.id/articles/29549--parodi-purbaya-menyebut-harga-pertalite-harusnya-di-rp5-400-per-liter-dan-lpg-3-kg-di-rp14-700-per-tabung,Beredar unggahan [arsip] pada Kamis (9/10/2025) oleh akun Facebook...,https://yudistira.turnbackhoax.id/uploads/2025/10/purbaya-678x381.jpg,15/10/2025,Politik,23,October 2025
Benarkah Utang PLN Melonjak & Terus Alami...,https://turnbackhoax.id/articles/29557-benarkah-utang-pln-melonjak-terus-alami-kerugian-,"tirto.id - Baru-baru ini, beredar konten klaim di media...",https://mmc.tirto.id/image/otf/970x0/2025/10/15/header-periksa-fakta---klaim-keliru-pln-merugi-di-tahun-keuangan-2024-01_ratio-16x9.jpg,15/10/2025,Uncategorized,23,October 2025
Hoaks FIFA Nyatakan Kemenangan Irak atas Indonesia...,https://turnbackhoax.id/articles/29556-hoaks-fifa-nyatakan-kemenangan-irak-atas-indonesia-tidak-sah,tirto.id - Langkah Tim Nasional Sepak bola Indonesia untuk...,https://mmc.tirto.id/image/otf/970x0/2025/10/14/header-periksa-fakta---hoaks-presiden-fifa-sebut-kemenangan-irak-atas-indonesia-tidak-sah_ratio-16x9.jpg,15/10/2025,Uncategorized,24,October 2025
Cek Fakta: Tidak Benar Link Pendaftaran Bantuan...,https://turnbackhoax.id/articles/29555-cek-fakta-tidak-benar-link-pendaftaran-bantuan-rumah-gratis-atau-subsidi,"Liputan6.com, Jakarta - Beredar di media sosial postingan klaim...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,15/10/2025,Uncategorized,24,October 2025
Keliru: Menteri di Mongolia Membakar Diri setelah...,https://turnbackhoax.id/articles/29554-keliru-menteri-di-mongolia-membakar-diri-setelah-gagal-menjalankan-tugas,SEBUAH video beredar di X atau Twitter [arsip] dan...,https://statik.tempo.co/data/2025/10/15/id_1434987/1434987_720.jpg,15/10/2025,Uncategorized,24,October 2025
Menyesatkan: Indonesia Kirim 20 ribu Anggota TNI...,https://turnbackhoax.id/articles/29553-menyesatkan-indonesia-kirim-20-ribu-anggota-tni-ke-gaza,SEBUAH akun TikTok [arsip] pada 30 September 2025 mengunggah...,https://statik.tempo.co/data/2025/10/15/id_1434979/1434979_720.jpg,15/10/2025,Uncategorized,24,October 2025
Cek Fakta: Tidak Benar Ini Link Situs...,https://turnbackhoax.id/articles/29548-cek-fakta-tidak-benar-ini-link-situs-resmi-kemensos-untuk-daftar-pkh-tahap-3,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim link situs...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,15/10/2025,Uncategorized,24,October 2025
Cek Fakta: Tidak Benar Ini Tautan Pendaftaran...,https://turnbackhoax.id/articles/29547-cek-fakta-tidak-benar-ini-tautan-pendaftaran-magang-kemnaker-2025,"Liputan6.com, Jakarta - Beredar di media sosial postingan klaim...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,14/10/2025,Uncategorized,24,October 2025
